Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-May-2019,164.45,167.70,160.80,166.45,164.767984834138466889,497433,3640,81961033.00,58379,11.74,6.90,2.00
13-May-2019,165.00,167.45,162.95,164.45,165.669964311670842960,368748,2461,61090468.00,59980,16.27,4.50,-0.55
10-May-2019,169.90,172.50,166.05,166.75,169.089296440330932160,456166,2659,77132788.00,52173,11.44,6.45,-3.15
9-May-2019,168.10,170.75,166.55,168.00,168.479697858578044246,372276,2479,62720948.00,34147,9.17,4.20,-0.10
8-May-2019,169.70,170.15,165.80,169.00,167.992072170585019136,369458,3135,62066015.00,42805,11.59,4.35,-0.70
7-May-2019,175.75,176.40,168.50,169.70,172.170235965235760365,439302,2947,75634729.00,70307,16.00,7.90,-6.05
6-May-2019,174.45,177.30,172.75,173.75,175.117945129454913978,290101,1866,50801891.00,58015,20.00,4.55,-0.70
3-May-2019,172.05,178.95,172.00,177.90,176.772896553553682242,490041,3496,86625967.00,87100,17.77,6.95,5.85
2-May-2019,171.70,175.55,169.85,171.95,173.275320292276942232,488304,2785,84611032.00,56700,11.61,5.70,0.25
30-April-2019,174.40,174.40,167.15,172.85,170.719975429691858071,779803,3937,133127949.00,168080,21.55,7.25,-1.55
26-April-2019,176.00,177.25,173.00,174.25,174.636668055693108622,535147,2488,93456289.00,130380,24.36,4.25,-1.75
25-April-2019,175.50,178.60,173.00,173.90,175.198173132562095654,919388,4945,161075098.00,262691,28.57,5.60,-1.60
24-April-2019,172.00,177.00,171.20,176.20,173.936590555666270707,637271,4233,110844745.00,85569,13.43,5.80,4.20
23-April-2019,173.40,176.45,170.65,171.85,174.194868829508795422,755734,4361,131644985.00,88847,11.76,5.80,-1.55
22-April-2019,181.90,181.90,172.25,172.95,175.514198635199845736,933470,6910,163837239.00,226929,24.31,9.65,-8.95
18-April-2019,184.00,185.70,179.35,183.15,182.394166650061127918,853129,6192,155605753.00,238325,27.94,6.35,-0.85
16-April-2019,186.00,187.80,182.10,183.25,184.815092419874512463,884550,7904,163478190.00,210892,23.84,5.70,-2.75
15-April-2019,182.95,185.00,181.70,184.65,183.786002477789334905,603764,4598,110963372.00,148189,24.54,3.30,1.70
12-April-2019,177.90,183.60,177.60,181.80,181.591747639803239111,1434838,9973,260554740.00,412276,28.73,6.00,3.90
11-April-2019,180.60,182.25,175.50,177.60,178.222730785061389952,2060272,13889,367187302.00,359286,17.44,6.75,-3.00
10-April-2019,187.80,191.20,179.55,180.60,185.245036331435014004,1802296,11649,333866388.00,316312,17.55,11.65,-7.20
9-April-2019,186.00,188.90,183.50,187.55,186.457693259164327411,2328376,12689,434143618.00,240314,10.32,5.40,1.55
8-April-2019,201.80,202.70,183.60,184.65,191.024363312807186034,3540200,27687,676264451.00,1058201,29.89,19.10,-17.15
5-April-2019,201.00,204.60,199.40,201.50,202.376111762753853179,608718,4322,123189982.00,73677,12.10,5.20,0.50
4-April-2019,203.85,204.70,198.25,200.90,202.054426370467914056,665229,5614,134412464.00,98675,14.83,6.45,-2.95
3-April-2019,200.05,209.40,199.65,201.90,205.093128622456621294,1762616,12901,361500430.00,279157,15.84,9.75,1.85
