Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-May-2019,2137.50,2158.20,2074.50,2094.35,2101.132647360089393798,107390,6246,225640635.00,28696,26.72,83.70,-43.15
13-May-2019,2140.00,2167.00,2122.85,2131.10,2137.064735403533146785,154027,5231,329165670.00,69558,45.16,44.15,-8.90
10-May-2019,2174.35,2193.60,2125.00,2135.55,2157.376334502702190196,105470,4688,227538482.00,26259,24.90,68.60,-38.80
9-May-2019,2145.00,2182.00,2138.00,2168.70,2169.785836529212626950,80051,4070,173693526.00,24870,31.07,44.00,23.70
8-May-2019,2158.00,2167.75,2130.20,2152.65,2153.964977345192146333,59590,3302,128354773.00,23867,40.05,37.55,-5.35
7-May-2019,2155.00,2185.00,2140.10,2150.35,2162.639618602841019653,107919,4067,233389905.00,52929,49.05,44.90,-4.65
6-May-2019,2113.00,2165.00,2104.55,2154.70,2150.103067217047813688,123793,4983,266167709.00,42450,34.29,60.45,41.70
3-May-2019,2191.00,2191.00,2125.15,2132.50,2155.686406926406926406,167475,9327,361023581.00,53476,31.93,65.85,-58.50
2-May-2019,2260.00,2260.00,2209.45,2214.40,2227.539745123229817333,67719,4309,150846764.00,21829,32.23,50.55,-45.60
30-April-2019,2230.00,2265.00,2230.00,2254.95,2250.954341066730447261,125430,7582,282337203.00,45897,36.59,35.00,24.95
26-April-2019,2200.00,2244.55,2193.75,2238.30,2226.298301436526133545,149597,7924,333047547.00,51617,34.50,50.80,38.30
25-April-2019,2169.00,2199.00,2169.00,2191.70,2180.868447183350906466,97687,6216,213042496.00,29819,30.52,30.00,22.70
24-April-2019,2157.70,2195.00,2155.40,2185.45,2175.115822429578699968,114028,5518,248024107.00,32359,28.38,39.60,27.75
23-April-2019,2166.00,2167.60,2135.10,2157.70,2148.692205935408009193,74839,3515,160805976.00,19535,26.10,32.50,-8.30
22-April-2019,2148.00,2175.95,2147.25,2164.35,2169.781896667292275518,186485,5344,404631777.00,99507,53.36,28.70,16.35
18-April-2019,2141.00,2150.05,2116.30,2145.50,2137.707918605836192546,88311,4079,188783124.00,21185,23.99,33.75,4.50
16-April-2019,2116.00,2153.80,2116.00,2132.45,2137.561272556287927668,237129,10848,506877767.00,61356,25.87,37.80,16.45
15-April-2019,2071.00,2115.00,2041.05,2110.05,2085.436166515563614385,397080,17124,828084993.00,93127,23.45,73.95,39.05
12-April-2019,2040.00,2040.00,2008.05,2013.75,2021.322723328863621194,164813,6209,333140262.00,50653,30.73,31.95,-26.25
11-April-2019,2048.00,2055.30,2012.35,2019.05,2030.150984699117631624,133391,6837,270803870.00,37100,27.81,42.95,-28.95
10-April-2019,2098.60,2098.60,2038.55,2043.80,2055.710519287970457956,108591,5031,223231661.00,26306,24.22,60.05,-54.80
9-April-2019,2074.70,2096.10,2057.00,2088.10,2085.448499490332367506,124591,4965,259828114.00,35281,28.32,39.10,13.40
8-April-2019,2060.00,2078.00,2033.55,2069.75,2058.462709040529584190,112239,5087,231039796.00,34812,31.02,44.45,9.75
